Clients,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,note/school schedule,Location,Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17
EdMaGo,3:00-7,3:00-7,3:00-7,3:00-7,3:00-7,n/a,school schedule(8:15-2:15) weds(8:15-1:15),,,,,,,,,,,,,,,,,,
EdRa,4-8pm,4-8pm,3:30-8pm,4-8pm,4-8pm,,,,,,,,,,,,,,,,,,,,
ElAg,3:30Pm,3:30Pm,3:30Pm,12pm,3:30Pm,,school(11:30-2pm mon-fri) two session if possible,Chino,,,,,,,,,,,,,,,,,
ElEr,,,,,,,,,,,,,,,,,,,,,,,,,
ElEr,,,,,,,,,,,,,,,,,,,,,,,,,
ElGo,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school sched(7:30-2),,,,,,,,,,,,,,,,,,
ElLo,,,,,,,,,,,,,,,,,,,,,,,,,
ElQu,,,,,,,no intake,,,,,,,,,,,,,,,,,,
ElRo,3pm,3pm,3pm,3pm,3pm,9:00 AM,,Jurupa Valley,,,,,,,,,,,,,,,,,
ElSh,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school sched(7:45-2:30 mon-thurs) (7:45-12:30 fri),Victorville,,,,,,,,,,,,,,,,,
ElWi,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,4:30pm-6:30pm,,School(8:10-2:30pm mon-fri),victorville,,,,,,,,,,,,,,,,,
EmEs,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,,,Lake Elsinore,,,,,,,,,,,,,,,,,
EmMa,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,2:30-5:30,,school (8:30-1:30 mon-fri),,,,,,,,,,,,,,,,,,
EmPa,2:30pm,2:30pm,2:30pm,2:30pm,2:30pm,,school(8am-1:55pm ),Lake Elsinore,,,,,,,,,,,,,,,,,
EmVo,9:30-1:30pm,9:30-1:30pm,9:30-1:30pm,,9:30-1:30pm,,no intake,Hesperia,,,,,,,,,,,,,,,,,
EnDeMa,before 10am or after 3,before 10am or after 3,before 10am or after 3,before 10am or after 3,before 10am or after 3,,,,,,,,,,,,,,,,,,,,
EnGaTa,,after 3:30pm,after 3:30pm,after 3:30pm,after 3:30pm,available for makeup,,,,,,,,,,,,,,,,,,,
EnRa,,,,,,,,Hesperia,,,,,,,,,,,,,,,,,
ErCaMe,3-5:30,3-5:30,3-5:30,3-5:30,3-5:30,,,barstow,,,,,,,,,,,,,,,,,
EtHe,4:30-6:30 pm,4:30-6:30 pm,4:30-6:30 pm,4:30-8:15 pm,,,,Victorville,,,,,,,,,,,,,,,,,
ErCe,,,,,,,no intake,Norco,,,,,,,,,,,,,,,,,
EuCe,,,,,,,,,,,,,,,,,,,,,,,,,
EvEl,,,,,,,,,,,,,,,,,,,,,,,,,
EvMi,,,open,open,open,open,,,,,,,,,,,,,,,,,,,
EvSa,3-5pm,3-5pm,2-5pm,3-5pm,3-5pm,,school (8:20am-2:15pm mon-fri),Hesperia,,,,,,,,,,,,,,,,,
FaZa,,,,,,,,,,,,,,,,,,,,,,,,,
GaIs,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,2:30-6:30pm,,,Victorville,,,,,,,,,,,,,,,,,
GeJuGa,,,,,,,,,,,,,,,,,,,,,,,,,
GiAr,3:30-5:30,3:30-5:30,3:30-5:30,,,,School 8:20-2:20,Hesperia,,,,,,,,,,,,,,,,,
GuGo,,,3;30-6pm,4-6:30pm,4-6:30pm,,,Victorville,,,,,,,,,,,,,,,,,
HaLo,4pm-7pm ,3-6pm,4-7:30pm,4-7pm,4-7pm,,,,,,,,,,,,,,,,,,,,
HaMe,2-3:30,1-2:45,1:30-3,1-4pm,3:30-5:30 (clinic),,,victorville,,,,,,,,,,,,,,,,,
HeMe,3:30-5:30,1:30-4,3-5:30,4-6pm,3:30-5:30pm (clinic,,,victorville,,,,,,,,,,,,,,,,,
IaRo,4-6:30pm,4-6:30pm,4-6:30pm,4-6:30pm,4-6:30pm,,,oc,,,,,,,,,,,,,,,,,
IlAg,3:30-7pm,3:30-7:pm,3:30-7:pm,3:30-7:pm,3:30-7:pm,,,Chino,,,,,,,,,,,,,,,,,
IsAn,3pm-6pm,3pm-6pm,,3pm-6pm,3pm-6pm,possibly,,Victorville ,,,,,,,,,,,,,,,,,
IsGa,,,,,,,,,,,,,,,,,,,,,,,,,
IsKi,all day,3:30-7pm,3:30-7pm,3:30-7pm,3:30-7pm,open,,adelanton,,,,,,,,,,,,,,,,,
IsLa,open,open,open,open,open,maybe,,adelanto,,,,,,,,,,,,,,,,,
Islu,after 4,after 4,after 4,after 4,after 4,before 1pm,"school (8-2:30 pm mon,tues,thurs,fri) (8am-1 on weds)",Hesperia,,,,,,,,,,,,,,,,,
IsQu,9am-2,9am-2,9am-2,9am-2,9am-2,,,,,,,,,,,,,,,,,,,,
IsYaRe,4pm,4pm,4pm,4pm,4pm,,,,,,,,,,,,,,,,,,,,
IsZa,after 5pm,after 5pm,after 5pm,after 5pm,after 5pm,,,Hesperia,,,,,,,,,,,,,,,,,
IvCa,,,,,,,,,,,,,,,,,,,,,,,,,
IvMu,3pm-8Pm,3pm-8Pm,3pm-8Pm,4:30-8pm,3pm-8pm,8:00 AM,school(8:05am-2:25pm)wed(8:05-1:25),,,,,,,,,,,,,,,,,,
JaCa,open,open,open,open,open,,only school schedule open,AV,,,,,,,,,,,,,,,,,
JacMo,after 4pm,after 4pm,after 4pm,after 4pm,after 4pm,,School(8:30-2pm mon-fri),,,,,,,,,,,,,,,,,,
JaEv,9-12pm,9-12pm,9-12pm,9-12pm,9-12pm,,,victorville,,,,,,,,,,,,,,,,,
Jalo,4-7pm,3-6pm,4-6pm,4-7pm,7-Apr,,,,,,,,,,,,,,,,,,,,
JaMa,after 3:30,after 3:30,after 3:30,after 3:30,after 3:30,,,santa ana,,,,,,,,,,,,,,,,,
JaMo,3-5pm,3-5pm,3-5pm,3-5pm,3-5pm,,schoolk(7:30-3 mon-thurs) (7:30-11:30),Victorville,,,,,,,,,,,,,,,,,
JaNo,8:00-5:00,8am-5pm,8:00am-5pm,8:00-5:00,8:00-5pm,,,,,,,,,,,,,,,,,,,,
JaRo,4pm-6:30pm,4pm-6:30pm,4pm-6:30pm,4pm-6:30pm,4pm-6:30pm,,,,,,,,,,,,,,,,,,,,
JaTor,4:30-6pm,4:30-6pm,4:30-6pm,4:30-6pm,4:30-6pm,,"school(8-1:30pm monda) (8-4pm tue,wed,thur,fri)",sn Bernadino,,,,,,,,,,,,,,,,,
JaToz,,,,,,,,,,,,,,,,,,,,,,,,,
JeCa,,,,,,,,,,,,,,,,,,,,,,,,,
Jeki,3pm-5:30pm,3pm-5:30pm,3pm-5:30pm,3pm-5:30pm,3pm-5:30pm,,daycare Cofed family (could do up to 6pm),,,,,,,,,,,,,,,,,,
JemKi,morning-2pm,morning-2pm,morning-2pm,morning-2pm,morning-2pm,morning-2pm,,,,,,,,,,,,,,,,,,,
JesCa,,,,,,,,,,,,,,,,,,,,,,,,,
JesCab,after 4pm,after 4pm,after 4pm,after 4pm,after 4pm,,,,,,,,,,,,,,,,,,,,
